pk,hh,trust_share,edad,mujer,educ_anios,sis,ocupado,ipcr_0,factor07,pobre,juntos,pension65,transfer
0155550991101,01555509911,0.0,36.0,1.0,11.0,1.0,1.0,1373.478426651848,1172.6197509765625,0.0,1.0,0.0,1.0
0155551152201,01555511522,0.19047619047619047,33.0,0.0,11.0,1.0,1.0,715.32892289902,1172.6197509765625,1.0,1.0,0.0,1.0
0155780151101,01557801511,0.0,48.0,1.0,11.0,1.0,1.0,719.3382018194019,284.97857666015625,0.0,0.0,0.0,1.0
0155780231101,01557802311,0.0,27.0,1.0,6.0,1.0,1.0,367.98627457592823,284.97857666015625,1.0,0.0,0.0,1.0
0155780451101,01557804511,0.19047619047619047,40.0,1.0,3.0,1.0,1.0,852.8399394359492,284.97857666015625,0.0,0.0,0.0,1.0
0155780521101,01557805211,0.047619047619047616,76.0,0.0,11.0,1.0,1.0,561.7590830925043,284.97857666015625,0.0,0.0,0.0,1.0
0155820641101,01558206411,0.0,32.0,1.0,14.0,0.0,1.0,1226.7947984505481,248.56146240234375,0.0,0.0,0.0,0.0
0155980121101,01559801211,0.2857142857142857,38.0,1.0,11.0,0.0,1.0,683.6268526243404,284.97857666015625,0.0,0.0,0.0,0.0
0155980311101,01559803111,0.047619047619047616,50.0,0.0,11.0,1.0,1.0,1455.0340888596945,284.97857666015625,0.0,0.0,0.0,1.0
0155980491101,01559804911,0.09523809523809523,26.0,0.0,14.0,0.0,1.0,2977.647384799153,284.97857666015625,0.0,0.0,0.0,0.0
0155981071101,01559810711,0.0,53.0,0.0,11.0,0.0,0.0,376.7998138533449,284.97857666015625,0.0,0.0,0.0,0.0
0155981251101,01559812511,0.047619047619047616,47.0,1.0,11.0,0.0,1.0,354.30479991515386,284.97857666015625,0.0,0.0,0.0,0.0
0155981611101,01559816111,0.8095238095238095,34.0,0.0,14.0,0.0,1.0,1606.8458839611994,284.97857666015625,0.0,0.0,0.0,0.0
0156000211101,01560002111,0.09523809523809523,34.0,0.0,11.0,0.0,1.0,3375.859074600561,284.97857666015625,0.0,0.0,0.0,0.0
0156000361101,01560003611,0.47619047619047616,27.0,0.0,11.0,1.0,1.0,459.1674406798051,284.97857666015625,1.0,0.0,0.0,1.0
0156020261101,01560202611,0.0,71.0,0.0,14.0,0.0,1.0,581.8754826152611,181.1372833251953,0.0,0.0,0.0,0.0
0156020551101,01560205511,0.0,75.0,0.0,11.0,0.0,0.0,2427.516238593304,181.1372833251953,0.0,0.0,0.0,0.0
