ubigeo,income_2021,pop_2021,nhh_2021,income_2025,pop_2025,nhh_2025,chg_pct,chg_soles
050110,1871.598089314541,16831.79073047638,48.0,1299.9895709430475,32273.951986312866,54.0,-30.541200145210713,-571.6085183714936
150407,1179.729853995722,6096.163368225098,21.0,822.0736508757971,3039.1819381713867,8.0,-30.316788365450808,-357.65620311992484
120401,1385.98184128166,29465.779556274414,21.0,967.6082991694634,25433.423370361328,23.0,-30.186076732817348,-418.3735421121967
030215,942.048295771856,9702.575607299805,14.0,657.8787145219806,15188.422256469727,18.0,-30.165075668126395,-284.1695812498755
160510,653.1494499338614,11392.600067138672,6.0,458.1551568194795,9010.250122070312,5.0,-29.854467937487705,-194.99429311438195
010312,1290.777007508777,12822.102569580078,14.0,907.7837496452636,6226.1833419799805,14.0,-29.671527741472346,-382.99325786351335
100101,1651.631304547376,80285.77119743824,156.0,1166.2480543803213,36532.85567128658,133.0,-29.388111549512708,-485.3832501670547
020102,643.1931487951379,5256.917953491211,8.0,456.88365663696646,4464.3048095703125,8.0,-28.96633655180809,-186.3094921581714
131101,1730.2875402871916,15714.932571411133,15.0,1231.9757977294053,10753.837890625,5.0,-28.799360277140817,-498.3117425577864
080806,1014.6787416901336,6464.13427734375,8.0,723.6270610437854,13538.146942138672,16.0,-28.68412125807901,-291.05168064634825
060103,337.9120358844675,9723.401733398438,8.0,242.6058449886305,9199.5673828125,8.0,-28.20443807110271,-95.306190895837
200303,680.9003481369931,9503.95004272461,16.0,490.1380309450215,14357.376251220703,16.0,-28.016187348694288,-190.7623171919716
010608,760.8508968070147,2230.769561767578,8.0,548.4239613775284,1649.9029541015625,8.0,-27.91965368260151,-212.42693542948632
090714,827.5640732892127,2929.0531311035156,8.0,597.2214983286403,7143.761566162109,15.0,-27.833805549950874,-230.3425749605724
021206,821.1370946404627,4073.6280059814453,8.0,593.6114879717084,5967.156219482422,7.0,-27.708601663937383,-227.52560666875434
030206,1124.9578577688806,3796.090850830078,8.0,814.2690313725233,3495.3307342529297,8.0,-27.617819125468735,-310.6888263963573
110103,1627.9066558232414,22979.47235107422,38.0,1178.4377592163783,24653.709365844727,36.0,-27.610237663139493,-449.46889660686315
200308,694.4449961248396,10810.834457397461,15.0,504.89957701520893,9290.066986083984,8.0,-27.294518668481594,-189.54541910963064
022005,450.334955601399,3056.8148345947266,8.0,327.56959421305453,9973.427223205566,24.0,-27.2608998838204,-122.76536138834445
240304,1311.7271728534827,4777.278961181641,20.0,955.9567001374891,5846.954772949219,28.0,-27.122291897183448,-355.7704727159936
010402,409.0287439080259,4857.899940490723,16.0,298.7970672582692,2744.147361755371,11.0,-26.949616204611615,-110.23167664975671
040122,2022.1295181270598,91740.23748016357,88.0,1483.8336427115958,41091.01582336426,54.0,-26.62024714984851,-538.295875415464
010523,704.5739003340607,1919.4416427612305,8.0,517.6250363643585,1502.30859375,5.0,-26.533606181134985,-186.9488639697022
120135,597.7371125560704,8308.435363769531,8.0,440.4890153374614,8090.872009277344,7.0,-26.30723338328076,-157.24809721860902
090507,433.90854781177416,3426.8763122558594,8.0,320.04655248104945,5690.226531982422,8.0,-26.241012283564668,-113.86199533072471
040511,946.2147996681339,4888.432891845703,16.0,698.3018992457484,2179.741424560547,8.0,-26.200488568698788,-247.91290042238552
130205,1379.8005072507679,57720.06546020508,43.0,1019.8175492760978,47397.696868896484,30.0,-26.08949308852848,-359.98295797467006
