anio,origen,destino,personas,n
2020,Cusco,Ayacucho,1531,5
2020,Cusco,Madre de Dios,1530,29
2020,Huanuco,Pasco,1475,17
2020,Moquegua,Puno,1464,6
2020,Cajamarca,Tumbes,1437,8
2020,Lambayeque,Cajamarca,1401,6
2020,Ica,Ayacucho,1358,9
2020,La Libertad,Lambayeque,1319,6
2020,Ucayali,San Martin,1313,8
2020,Huanuco,Lambayeque,1285,3
2020,La Libertad,Ancash,1273,5
2020,Lima,Tacna,1268,23
2020,Tumbes,Piura,1176,3
2020,Ancash,La Libertad,1133,2
2020,Piura,Tumbes,1123,13
2020,Cusco,Junin,1119,3
2020,Ica,Cajamarca,1093,2
2020,San Martin,La Libertad,1090,3
2020,Pasco,Loreto,1041,4
2020,Puno,Tacna,1026,21
2020,Lima,Moquegua,1015,15
2020,Apurimac,Cusco,991,2
2020,Cusco,Apurimac,957,12
2020,Ayacucho,Huancavelica,919,7
2020,Ica,Apurimac,893,9
2020,Junin,Pasco,852,7
2020,Amazonas,Piura,850,2
2020,Lima,Madre de Dios,820,17
2020,Lambayeque,Loreto,806,2
2020,Loreto,Amazonas,790,5
2020,San Martin,Ucayali,771,12
2020,Arequipa,Junin,767,5
2020,Huancavelica,Ayacucho,751,6
2020,Ucayali,La Libertad,738,3
2020,Pasco,Apurimac,699,1
2020,Tacna,Moquegua,695,12
2020,Ayacucho,Cusco,686,3
2020,Junin,Ayacucho,669,4
2020,Loreto,Ayacucho,666,2
2020,Pasco,Arequipa,659,1
2020,Tacna,Lima,629,1
2020,San Martin,Cajamarca,625,2
2020,Puno,Ayacucho,622,2
2020,Apurimac,Madre de Dios,616,6
2020,Junin,Apurimac,614,4
2020,Moquegua,Tacna,614,14
2020,Lima,Tumbes,605,13
2020,Tacna,Arequipa,592,2
2020,San Martin,Piura,588,4
2020,Ancash,Cusco,586,1
2020,Lambayeque,La Libertad,578,3
2020,Huancavelica,San Martin,572,1
2020,Tacna,San Martin,572,1
2020,Apurimac,Arequipa,569,1
2020,Amazonas,San Martin,565,3
2020,San Martin,Madre de Dios,561,20
2020,Apurimac,Ica,558,2
2020,Piura,San Martin,534,3
2020,Puno,Junin,512,5
2020,Loreto,Ica,509,2
2020,Cajamarca,Loreto,499,7
2020,Piura,Ancash,497,1
2020,Ayacucho,Arequipa,476,5
2020,Piura,Arequipa,471,4
2020,Tumbes,Lima,448,2
2020,Apurimac,Tacna,444,2
2020,Junin,San Martin,437,3
2020,Cusco,Moquegua,432,5
2020,Arequipa,Apurimac,416,4
2020,Pasco,Ucayali,395,5
2020,Ica,Loreto,394,6
2020,Ancash,Cajamarca,390,1
2020,Moquegua,Junin,389,2
2020,Cusco,Tacna,379,5
2020,Puno,Cusco,376,2
2020,Arequipa,Lambayeque,364,1
2020,Piura,Ayacucho,363,3
2020,Tacna,Lambayeque,360,1
2020,Ayacucho,Lambayeque,358,1
2020,Amazonas,Loreto,356,4
2020,Ayacucho,Apurimac,355,4
